🎀凤凰融媒,#genre#
北京卫视 2M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240129_1/playlist.m3u8?CONTENTID=00000110240129_1
天津卫视 2M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240136_1/playlist.m3u8?CONTENTID=00000110240136_1
安徽卫视 2M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240256_1/playlist.m3u8?CONTENTID=00000110240256_1
山东卫视 2M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240254_1/playlist.m3u8?CONTENTID=00000110240254_1
广东卫视 2M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240137_1/playlist.m3u8?CONTENTID=00000110240137_1
江苏卫视 2M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240133_1/playlist.m3u8?CONTENTID=00000110240133_1
河北卫视 8M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240317_1/playlist.m3u8?CONTENTID=00000110240317_1
浙江卫视 8M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240134_1/playlist.m3u8?CONTENTID=00000110240134_1
深圳卫视 8M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240132_1/playlist.m3u8?CONTENTID=00000110240132_1
湖北卫视 2M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240135_1/playlist.m3u8?CONTENTID=00000110240135_1
湖南卫视 8M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240130_1/playlist.m3u8?CONTENTID=00000110240130_1
贵州卫视 8M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240318_1/playlist.m3u8?CONTENTID=00000110240318_1
辽宁卫视 2M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240255_1/playlist.m3u8?CONTENTID=00000110240255_1
黑龙江卫视 2M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240131_1/playlist.m3u8?CONTENTID=00000110240131_1
湖南金鹰纪实 8M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240303_1/playlist.m3u8?CONTENTID=00000110240303_1
体育赛事 8M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240590_1/playlist.m3u8?CONTENTID=00000110240590_1
熊猫频道 4M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240263_1/playlist.m3u8?CONTENTID=00000110240263_1
测试频道 8M1080,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240330_1/playlist.m3u8?CONTENTID=00000110240330_1
CCTV1 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240001_1/playlist.m3u8?CONTENTID=00000110240001_1
CCTV2 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240002_1/playlist.m3u8?CONTENTID=00000110240002_1
CCTV3 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240259_1/playlist.m3u8?CONTENTID=00000110240259_1
CCTV4 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240005_1/playlist.m3u8?CONTENTID=00000110240005_1
CCTV5 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240260_1/playlist.m3u8?CONTENTID=00000110240260_1
CCTV6 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240261_1/playlist.m3u8?CONTENTID=00000110240261_1
CCTV7 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240009_1/playlist.m3u8?CONTENTID=00000110240009_1
CCTV8 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240262_1/playlist.m3u8?CONTENTID=00000110240262_1
CCTV9 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240014_1/playlist.m3u8?CONTENTID=00000110240014_1
CCTV10 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240015_1/playlist.m3u8?CONTENTID=00000110240015_1
CCTV11 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240016_1/playlist.m3u8?CONTENTID=00000110240016_1
CCTV12 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240017_1/playlist.m3u8?CONTENTID=00000110240017_1
CCTV13 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240126_1/playlist.m3u8?CONTENTID=00000110240126_1
CCTV14 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240085_1/playlist.m3u8?CONTENTID=00000110240085_1
CCTV15 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240086_1/playlist.m3u8?CONTENTID=00000110240086_1
CCTV17 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240327_1/playlist.m3u8?CONTENTID=00000110240327_1
CGTN 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240021_1/playlist.m3u8?CONTENTID=00000110240021_1
IPTV3+ 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240093_1/playlist.m3u8?CONTENTID=00000110240093_1
IPTV5+ 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240094_1/playlist.m3u8?CONTENTID=00000110240094_1
IPTV6+ 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240007_1/playlist.m3u8?CONTENTID=00000110240007_1
IPTV8+ 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240125_1/playlist.m3u8?CONTENTID=00000110240125_1
IPTV少儿动画 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240092_1/playlist.m3u8?CONTENTID=00000110240092_1
IPTV收视指南 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240225_1/playlist.m3u8?CONTENTID=00000110240225_1
IPTV法治 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240096_1/playlist.m3u8?CONTENTID=00000110240096_1
IPTV热播剧场 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240089_1/playlist.m3u8?CONTENTID=00000110240089_1
IPTV相声小品 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240006_1/playlist.m3u8?CONTENTID=00000110240006_1
IPTV经典电影 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240090_1/playlist.m3u8?CONTENTID=00000110240090_1
IPTV谍战剧场 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240003_1/playlist.m3u8?CONTENTID=00000110240003_1
IPTV野外 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240095_1/playlist.m3u8?CONTENTID=00000110240095_1
IPTV魅力时尚 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240091_1/playlist.m3u8?CONTENTID=00000110240091_1
东南卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240029_1/playlist.m3u8?CONTENTID=00000110240029_1
东方卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240011_1/playlist.m3u8?CONTENTID=00000110240011_1
云南卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240082_1/playlist.m3u8?CONTENTID=00000110240082_1
内蒙古卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240060_1/playlist.m3u8?CONTENTID=00000110240060_1
北京卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240026_1/playlist.m3u8?CONTENTID=00000110240026_1
吉林卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240046_1/playlist.m3u8?CONTENTID=00000110240046_1
四川卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240071_1/playlist.m3u8?CONTENTID=00000110240071_1
天津卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240072_1/playlist.m3u8?CONTENTID=00000110240072_1
宁夏卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240061_1/playlist.m3u8?CONTENTID=00000110240061_1
安徽卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240024_1/playlist.m3u8?CONTENTID=00000110240024_1
山东卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240064_1/playlist.m3u8?CONTENTID=00000110240064_1
山西卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240065_1/playlist.m3u8?CONTENTID=00000110240065_1
广东卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240036_1/playlist.m3u8?CONTENTID=00000110240036_1
广西卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240037_1/playlist.m3u8?CONTENTID=00000110240037_1
新疆卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240079_1/playlist.m3u8?CONTENTID=00000110240079_1
江苏卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240048_1/playlist.m3u8?CONTENTID=00000110240048_1
江西卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240049_1/playlist.m3u8?CONTENTID=00000110240049_1
河北卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240040_1/playlist.m3u8?CONTENTID=00000110240040_1
河南卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240041_1/playlist.m3u8?CONTENTID=00000110240041_1
浙江卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240013_1/playlist.m3u8?CONTENTID=00000110240013_1
海南卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240059_1/playlist.m3u8?CONTENTID=00000110240059_1
深圳卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240004_1/playlist.m3u8?CONTENTID=00000110240004_1
湖北卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240043_1/playlist.m3u8?CONTENTID=00000110240043_1
湖南卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240008_1/playlist.m3u8?CONTENTID=00000110240008_1
甘肃卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240034_1/playlist.m3u8?CONTENTID=00000110240034_1
西藏卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240076_1/playlist.m3u8?CONTENTID=00000110240076_1
贵州卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240038_1/playlist.m3u8?CONTENTID=00000110240038_1
辽宁卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240057_1/playlist.m3u8?CONTENTID=00000110240057_1
重庆卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240012_1/playlist.m3u8?CONTENTID=00000110240012_1
陕西卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240066_1/playlist.m3u8?CONTENTID=00000110240066_1
青海卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240063_1/playlist.m3u8?CONTENTID=00000110240063_1
黑龙江卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240042_1/playlist.m3u8?CONTENTID=00000110240042_1
厦门卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240159_1/playlist.m3u8?CONTENTID=00000110240159_1
四川康巴卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240331_1/playlist.m3u8?CONTENTID=00000110240331_1
山东教育卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240304_1/playlist.m3u8?CONTENTID=00000110240304_1
新疆兵团卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240280_1/playlist.m3u8?CONTENTID=00000110240280_1
海南三沙卫视 576,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240589_1/playlist.m3u8?CONTENTID=00000110240589_1
